OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Latitude,Longitude,Geocoding Status,Geocoding Query
1356,LOVES TRAVEL STOP #257,"I-40 & HORIZON, EXIT 79",Milan,NM,580,3.59066666,35.18361,-107.899935,success,"LOVES TRAVEL STOP #257, Milan, NM, USA"
1364,7- ELEVEN #40507,"I-80/I-90, MM 56 WB",Rolling Prairie,IN,465,3.98233333,41.6745495,-86.6160192,success,"7- ELEVEN #40507, Rolling Prairie, IN, USA"
1372,PILOT TRAVEL CENTER #469,"I-77, EXIT 101 & SR-627",Canton,OH,249,3.62233333,40.749571,-81.403398,success,"PILOT TRAVEL CENTER #469, Canton, OH, USA"
1376,FUEL MART #782,"I-75, EXIT 118",Lima,OH,411,3.08566666,40.6540966,-84.1333235,success,"FUEL MART #782, Lima, OH, USA"
1379,TA LODI TRAVEL CENTER,"I-71, EXIT 209 & I-76/US-224, EXIT 1",Seville,OH,305,3.739,41.010077,-81.8622222,success,"TA LODI TRAVEL CENTER, Seville, OH, USA"
1384,SUNOCO,"I-80/I-90, EXIT 13 & US-20ALT/SR-15",Montpelier,OH,550,3.41566666,41.5844951,-84.6055076,success,"SUNOCO, Montpelier, OH, USA"
1391,ONCUE EXPRESS #2045,"I-35, EXIT 203 & SR-15",Billings,OK,500,3.21566666,36.5289239,-97.4439362,success,"ONCUE EXPRESS #2045, Billings, OK, USA"
1395,DOMINO FOOD AND FUEL #1,"I-40, EXIT 66",Clinton,OK,483,3.099,35.5156056,-98.9673069,success,"DOMINO FOOD AND FUEL #1, Clinton, OK, USA"
1404,ONE9 #339,"I-74, EXIT 4 & SR-63",Covington,IN,375,3.26233333,40.1370345,-87.3970886,success,"ONE9 #339, Covington, IN, USA"
1414,SAC SHOP #507,"I-70, EXIT 12/161",Breezewood,PA,14,4.099,39.9990119,-78.2404221,success,"SAC SHOP #507, Breezewood, PA, USA"
1424,GETTYSBURG TRAVEL PLAZA,US-15 & SR-394,Gettysburg,PA,70,3.899,39.8308973,-77.231012,success,"GETTYSBURG TRAVEL PLAZA, Gettysburg, PA, USA"
1428,CIRCLE K #4702408,"I-65, EXIT 168 & SR-38/SR-25",Lafayette,IN,375,3.43233333,40.4529586,-86.924999,success,"CIRCLE K #4702408, Lafayette, IN, USA"
1432,KWIK FILL #259,"I-81, EXIT 57",Mechanicsburg,PA,70,4.049,40.2101972,-77.0047276,success,"KWIK FILL #259, Mechanicsburg, PA, USA"
1444,PILOT TRAVEL CENTERS #346,"I-20, EXIT 92 & US-601",Lugoff,SC,135,3.43233333,34.2273712,-80.6892487,success,"PILOT TRAVEL CENTERS #346, Lugoff, SC, USA"
1445,PILOT TRAVEL CENTERS #402,"I-80, EXIT 367",Cheyenne,WY,795,3.709,41.1365662,-104.7063786,success,"PILOT TRAVEL CENTERS #402, Cheyenne, WY, USA"
1447,HOT SPOT #3005,US-221,Chesnee,SC,210,3.199,35.1515289,-81.8598413,success,"HOT SPOT #3005, Chesnee, SC, USA"
1453,EXPRESS STOP,US-278/SR-101/SR-6 & SR-113,Rockmart,GA,193,3.319,34.0026005,-85.0416133,success,"EXPRESS STOP, Rockmart, GA, USA"
1455,PETRO FLORENCE,"I-95, EXIT 169",Florence,SC,46,3.32566666,34.1984435,-79.7671658,success,"PETRO FLORENCE, Florence, SC, USA"
1461,CIRCLE K #2705370,"I-26, EXIT 15 & US-176",Inman,SC,210,3.099,35.047841,-82.0906082,success,"CIRCLE K #2705370, Inman, SC, USA"
1464,CIRCLE K #2723254,"I-20, EXIT 55 & SR-6",Lexington,SC,135,3.199,33.962626,-81.2309478,success,"CIRCLE K #2723254, Lexington, SC, USA"
1470,CIRCLE K #2705348,US-1,Beech Island,SC,135,3.159,33.4274334,-81.8778655,success,"CIRCLE K #2705348, Beech Island, SC, USA"
1479,TA SPARTANBURG TRAVEL CENTER,"I-85, EXIT 63 & SR-290",Duncan,SC,210,3.43233333,34.9378962,-82.1451096,success,"TA SPARTANBURG TRAVEL CENTER, Duncan, SC, USA"
